country,corruption,democracy,freedom,GDP_UN,HDI,homicide,life_expectancy,religion_important,log_pop
India,-0.2936132101155489,0.3399154691432189,0.1835761559117108,-0.6654750706721941,-0.7256621007943199,-0.28327448077366724,-0.6311011311965238,0.796440299099798,3.1092513543521956
Turkey,-0.3966513863362228,-0.6682700424782385,-1.0346179659520751,-0.36281093993204877,0.44014893529371857,-0.34383069781381925,0.4868989130944008,0.4771578022544686,1.1544135466038827
Colombia,-0.34513229822588587,0.543445877592621,0.11396506323378017,-0.5096307581585003,0.08707473579277006,2.4054215558090846,0.4309989108798538,0.5170681143601348,0.8011832685020295
Ecuador,-0.4996895625568968,0.11271873412993252,0.1835761559117108,-0.4973995907742687,0.03378051700017394,0.043729091243153884,0.3890739092189445,0.4771578022544686,0.05738379339143989
Brazil,-0.3966513863362228,0.48664669383929937,0.42721498028446797,-0.4425654808157468,0.07375118109462103,2.659757667377723,0.2353489031289432,0.6767093627827995,1.8033049815255184
Kazakhstan,-0.44817047444655983,-1.3025275943903294,-1.347867883002763,-0.3365620301524055,0.47345782203909115,-0.04104961261305902,-0.08607610960469922,-0.680241248809849,0.1032432218962366
Peru,-0.4996895625568968,0.3020493466410045,0.32279834126757206,-0.4716087771513382,0.1536925092835152,0.2980652028117926,0.34714890755803524,0.556978426465801,0.4954875082565431
Serbia,-0.3966513863362228,0.15531812194492362,0.07915951689481486,-0.40321502095411754,0.34688405240667614,-0.513388105526245,0.24932390368257895,-0.6403309367041828,-0.4204029901062573
Sri Lanka,-0.44817047444655983,0.11745199944270922,-0.19928485381690764,-0.5813228066840532,0.18700139602888777,-0.3680531846298801,0.3890739092189445,1.1955434201564592,0.20061926562616184
Tanzania,-0.34513229822588587,-0.3748075930860776,-0.9650068732741445,-0.7028557170599584,-1.5050900506360374,0.1285077950993668,-1.2180511544492596,0.7565299869941318,0.900289270670262
Indonesia,-0.3966513863362228,0.193184244447138,-0.0948682148000117,-0.5766502258855827,-0.23935235431188115,-0.6102780527904883,-0.35160112012379263,1.1556331080507931,1.9771487248839446
Albania,-0.5512086506672338,0.08905240756604862,0.1487706095727455,-0.5165938197405349,0.27360450156685645,-0.38016442803791056,0.6126739180771287,-0.7999721851268475,-1.1989158095186991
Algeria,-0.6542468268879077,-1.0043318796853913,-1.0346179659520751,-0.5996466529525651,-0.03949903383964572,-0.48916561871018427,0.37509890866530876,0.9959918596281284,0.6918641651830503
Thailand,-0.5512086506672338,0.07011934631494142,-1.1042290586300059,-0.4246081114726052,0.1536925092835152,-0.34383069781381925,0.41702391032621805,1.0758124838394607,1.0220235689363206
Vietnam,-0.34513229822588587,-1.3971929006458652,-1.4870900683586241,-0.6263078492732499,-0.33261723719892433,-0.47705437530215383,0.1654739003607604,-1.5981784272401702,1.2558957685411754
Bosnia and Herzegovina,-0.5512086506672338,-0.49787249121827415,-0.3037014928338036,-0.47747240795726203,0.17367784133073874,-0.513388105526245,0.4449739114334916,0.2776062417261382,-1.103747152795247
North Macedonia,-0.34513229822588587,-0.0008796333767106797,0.1487706095727455,-0.4842980406922827,0.13370717723629166,-0.513388105526245,0.22137390257530545,0.237695929620472,-1.4255019190994516
Panama,-0.4996895625568968,0.6097115919714959,0.7404648973351557,-0.19189526386250405,0.406840048548346,0.47973385393224877,0.5986989175234929,0.7166196748884657,-0.9276577274683551
Moldova,-0.4996895625568968,-0.05294555181725517,-0.025257122122081078,-0.6186118338404749,-0.026175479141496687,-0.16216204669336315,-0.3236511190165191,0.07805468119780734,-0.9619370835472534
Philippines,-0.6542468268879077,0.3162491425793346,-0.19928485381690764,-0.6028075164338834,-0.23935235431188115,0.1285077950993668,-0.4214761228919754,1.0359021717337946,1.3356431049386417
Egypt,-0.6542468268879077,-1.401926165958642,-1.5218956146975895,-0.5886065355757867,-0.3126319051517008,-0.34383069781381925,-0.30967611846288334,1.0758124838394607,1.2837878295024205
Nepal,-0.6542468268879077,-0.318008409332756,-0.19928485381690764,-0.7019395247465328,-1.012118526804524,-0.38016442803791056,-0.47737612510652244,0.9161712354167965,0.4060984311083211
Ukraine,-0.7057659149982447,-0.03874575587892508,-0.06006266846104639,-0.5909886355906933,0.16701606398166421,0.09217406487527557,-0.2957011179092476,-0.959613433549512,0.7069745109441515
Zambia,-0.6542468268879077,-0.48840596059272035,-0.33850703917276886,-0.7088109670972247,-1.1320305190878652,-0.0047158823889676986,-1.4416511633074447,0.9959918596281284,0.07672690839300128
Niger,-0.7572850031085816,-1.2315286146986775,-0.47772922452863015,-0.7279135768321484,-2.3977682154120217,-0.1258283164692718,-1.651276171611993,1.1955434201564592,0.26290994700412407
Bolivia,-0.8088040912189186,-0.38427412371163094,0.1487706095727455,-0.6104119126353158,-0.23935235431188115,0.09217406487527557,-0.3795511212310661,0.7565299869941318,-0.23030319538988162
Kenya,-0.8088040912189186,-0.39847391964996143,-0.47772922452863015,-0.6678571706871006,-1.0187803041535985,-0.06527209942911975,-1.0503511478056204,0.9560815475224622,0.8315497616947279
Kyrgyzstan,-0.9633613555499295,-0.7960682059232123,-1.1738401513079364,-0.6996032343472975,-0.37924967864244596,-0.3922756714459409,-0.3795511212310661,0.07805468119780734,-0.6391171385410823
Mexico,-0.7572850031085816,0.08431914225327193,-0.025257122122081078,-0.3725225784543601,0.16701606398166421,2.8656488053142404,0.12354889869984914,0.1179649933034735,1.4513542945187907
